,Time [s],A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,E14,E15,E16,E17,E18,R1,R2
0,0.0,-0.017534,-0.0072753,-0.0055604,-0.0024513,-0.0046202,0.002614,-0.0017357,-0.018179,-0.0085627,-0.0043267,-0.0010721,-0.012672,-0.011953,0.0022937,0.011666,0.0043822,-0.019412,0.004019,0.00080536,0.0036028,0.0048758,0.0061014,0.0069927,-0.48466,0.32316,-0.066754,-4.714,-98.52,0.22808,10.467,4.6742,-5.5885e-05,0.00089345
1,0.02,-0.012292,-0.0079674,-0.0046655,-0.0073044,0.0016885,0.0033177,-0.0067443,-0.011137,-0.009908,0.0007683,0.00097081,-0.0049279,-0.0081953,-0.0086738,0.010114,0.0070246,-0.011528,-0.00072236,-0.0045325,-0.0056044,-0.012926,-0.0092788,-0.010798,-1.5517,-0.13304,-1.5794,-5.1302,-98.18,0.16689,9.1122,1.954,0.0012879,0.0015293
2,0.04,-0.0070423,-0.0065447,-0.0093341,-0.0072917,0.0044903,-0.0024531,-0.0092854,-0.0071341,-0.0071788,0.0028495,0.002618,0.0041883,-0.0050824,-0.01276,-0.00055565,0.002012,0.0051502,-0.003128,-0.0037387,-0.0072053,-0.0116,-0.011031,-0.011977,-1.7882,-0.28593,-2.309,-6.4314,-98.274,0.53893,8.3616,5.208,0.00048097,-0.00012268
3,0.06,-0.0023854,-0.004089,-0.013601,-0.0045542,0.00064938,-0.0083402,-0.0087354,-0.0067322,-0.003815,-0.00094602,0.00261,0.0092558,-0.0015676,-0.0093668,-0.016302,-0.0017113,0.0211,0.00042347,0.00058574,0.0021059,0.0061721,0.0028795,0.0034088,-1.0851,0.43067,-1.5208,-6.3146,-97.493,1.5429,8.7973,4.6555,-0.00098106,-0.0016167
4,0.08,-0.0010102,-0.0061451,-0.0066836,-0.003888,-0.0066502,-0.010414,-0.0069069,-0.0058609,-0.0056379,-0.008736,-0.00077608,0.0076968,0.0053048,-0.0091744,-0.023404,-0.0024028,0.026138,0.0021299,0.0054794,0.0088684,0.014402,0.01172,0.010662,-0.53997,0.98955,-0.60072,-5.5773,-96.712,1.5365,9.6206,4.9374,-0.0012275,-0.00025539
5,0.1,0.00033829,-0.012309,0.0016673,-0.0046877,-0.012919,-0.0079756,-0.0057172,-0.0021866,-0.012053,-0.014724,-0.0029707,0.0012923,0.0087088,-0.011027,-0.016065,-0.00030205,0.019916,0.00040637,0.0042412,0.0034849,0.0038338,0.0039219,0.0022086,-0.66311,1.043,-0.87265,-5.8197,-96.772,1.0511,9.9332,5.6189,-0.00191,0.00049175
6,0.12,-0.0011601,-0.014927,-0.0019681,-0.0026151,-0.015498,-0.0069725,-0.0039362,-0.0019766,-0.014864,-0.017412,-0.002374,-0.0019534,0.001747,-0.008895,-0.0025278,0.0031947,0.0051765,-0.0017164,-0.0062245,-0.0080202,-0.012451,-0.012337,-0.011678,-2.0828,0.94658,-2.426,-7.4963,-98.501,0.78339,9.4964,1.7779,-0.0001206,0.00088985
7,0.14,-0.0043159,-0.012191,-0.011496,-0.0051792,-0.011876,-0.010828,-0.0025787,-0.003648,-0.012483,-0.013522,-0.0014101,-0.0027672,-0.0094004,-0.0014956,0.0083245,0.0040904,-0.0098983,-0.0017129,-0.0078634,-0.008042,-0.011389,-0.012571,-0.011569,-3.1518,0.74872,-3.666,-9.4529,-100.99,0.1733,9.2947,3.6389,0.0023167,0.0012982
8,0.16,-0.00010159,-0.0099948,-0.018247,-0.015559,-0.0072321,-0.011829,-0.0074569,-0.0012256,-0.010216,-0.0055703,-0.001619,-0.0081743,-0.014709,0.0070079,0.012523,6.03e-05,-0.016704,0.00051581,0.0034969,0.0030069,0.004723,0.0048273,0.0038268,-3.0503,1.4617,-3.4124,-10.043,-101.14,0.9948,9.4286,1.8257,0.00050944,-0.00093829
9,0.18,-0.00024909,-0.0096591,-0.019964,-0.021829,-0.0064298,-0.0073166,-0.011536,-0.0027091,-0.0096346,-0.0034469,-0.0019144,-0.012846,-0.010058,0.009537,0.012594,-0.0044078,-0.016172,0.0022857,0.0067296,0.0067844,0.012016,0.014582,0.013169,-2.5669,2.3454,-2.6884,-9.5419,-99.322,2.1576,9.9168,4.446,-0.0013734,-0.0010899
