Time [s],Input force,A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,R1,R2
0.0,-0.003669885,-0.0053574,-0.0039473,-0.00058531,0.0010742,-0.001029,-0.0018146,-0.0023014,-0.0054571,-0.0031653,-0.0018694,-0.0043501,-0.0086376,-0.0012982,-0.00764,-0.011093,-0.010637,-0.0087547,-0.00057226,0.0022015,0.0020317,0.0027788,0.0018654,0.0012401,-0.0023145,-0.0017387
0.02,-0.003167397,-0.0088859,-0.005088,-0.0030042,-0.0014554,0.0013686,0.0018702,-0.0026617,-0.009135,-0.0049065,0.00048191,0.00092713,-0.0013294,-0.0045049,-0.0093305,-0.010121,-0.0071454,-0.008639,-0.0041573,-0.0042535,-0.0050475,-0.0075413,-0.0076872,-0.0090121,-0.0042479,-0.0027374
0.04,-0.002960784,-0.010114,-0.0045754,-0.0064156,-0.0024714,0.0039864,0.0031976,-0.0041474,-0.010861,-0.0045449,0.0027115,0.0041811,0.0056055,-0.0077763,-0.011873,-0.0085411,-0.0076829,-0.0060467,-0.0041426,-0.0092847,-0.0086303,-0.0097025,-0.010397,-0.0094773,-0.0021537,-0.0015471
0.06,-0.00258326,-0.010218,-0.0022418,-0.0082842,-0.0050966,0.0033544,0.0013343,-0.0053048,-0.010228,-0.0020437,0.002106,0.0056415,0.0058766,-0.0067845,-0.012783,-0.0078665,-0.0083102,-0.0045015,0.00044624,0.00095074,-0.00059438,-0.00023564,-0.00087382,-0.0005268,0.00072215,9.6401e-05
0.08,-0.002784606,-0.0065092,-0.00015545,-0.0040554,-0.0062458,0.00033479,-0.0019542,-0.0051897,-0.0071713,-0.00011247,0.00047846,0.0048891,0.0022737,-0.0025911,-0.010219,-0.0098522,-0.0055637,-0.006488,0.0041793,0.0088732,0.0084027,0.0097217,0.0086036,0.0079587,0.0021044,0.0017902
0.1,-0.003519753,-0.0023671,0.00012586,0.0018323,-0.0022968,-0.0041048,-0.0047515,-0.0043727,-0.0035162,-0.00084462,-0.0035627,0.0037454,-3.5489e-05,-0.00023078,-0.0058944,-0.0097586,-0.0050998,-0.0066193,0.0023844,0.0019397,0.0057243,0.007788,0.007377,0.0079083,0.00018543,0.00043041
0.12,-0.004163593,-0.00071738,-0.0014171,0.0039167,0.0021622,-0.0085079,-0.0066322,-0.0026642,-5.1455e-05,-0.0025119,-0.0093377,0.0032544,-5.1319e-05,-0.0010992,-0.0015593,-0.005674,-0.0081639,-0.0037432,-0.002177,-0.0037245,-0.0022713,-0.00096853,-0.0016759,-0.0005254,-0.0027689,-0.0023216
0.14,-0.003752121,-0.00071218,-0.0034222,0.002627,0.001674,-0.0093105,-0.0091783,-0.0016724,0.0015501,-0.0031378,-0.0096087,0.0027899,0.0021765,-0.0018229,0.0014682,-0.0023186,-0.0086622,-0.0043409,-0.0046404,-0.0041436,-0.0064814,-0.0082991,-0.01058,-0.01028,-0.0037065,-0.002707
0.16,-0.003226514,0.00078688,-0.0040151,-0.0013052,-0.0016824,-0.0062491,-0.0089665,-0.004088,0.002141,-0.0027748,-0.0056519,0.00092154,0.0031547,0.00045399,0.0018448,-0.0020859,-0.0044848,-0.0086325,-0.0037705,-0.005648,-0.007008,-0.0079109,-0.0092497,-0.0091803,-0.0027871,-0.0022403
0.18,-0.002491366,0.00057426,-0.0045882,-0.0063171,-0.0056311,-0.0023444,-0.0050766,-0.0065647,-0.00011525,-0.0033966,-0.003888,-2.6567e-06,0.0008066,0.0058807,0.00015115,-0.00094361,-0.0009076,-0.010982,-0.0018781,-0.0030949,-0.0037515,-0.0013692,-0.0018887,-0.00086521,-0.0011619,-0.00046228
