,Time [s],A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,E14,E15,E16,E17,E18,R1,R2
0,0.0,0.0057392,-0.0030885,0.0032652,0.0040385,-0.013593,-0.0025096,0.0017147,0.0078174,-0.0038367,-0.013297,-0.0086779,-0.0015218,-0.0031854,0.0014696,-0.00099134,-0.0068753,0.0081992,0.0018439,-0.0019955,-0.0020062,-0.0057191,-0.0060156,-0.0047358,-1.7428,0.46124,-4.353,-5.275,-93.428,0.054216,24.392,22.334,0.00029833,0.00027229
1,0.02,0.0057647,-0.011701,-0.0060786,0.0089411,-0.011106,-0.012731,0.0075903,0.0070335,-0.012307,-0.013457,-0.006247,-0.0075164,-0.00093698,0.0015491,0.0018274,-0.0013055,-0.0057555,-0.0030787,-0.0020276,-0.0018649,-0.0018405,-0.0021717,-0.0015168,-1.3266,1.5587,-3.9744,-5.5598,-93.671,0.96574,25.274,19.713,-0.00064678,-0.00077546
2,0.04,0.012917,-0.016545,-0.011327,0.0042728,-0.0032901,-0.016083,0.0044523,0.01144,-0.016911,-0.0055117,-0.0017487,-0.011221,0.0006805,0.0017849,0.0038142,0.0045843,-0.019256,-0.00029504,0.00089646,0.0010361,0.005841,0.0051318,0.0057776,-1.5789,1.0881,-5.2191,-6.3459,-94.393,0.38934,24.187,22.105,0.00072134,0.001337
3,0.06,0.019481,-0.01788,-0.015802,-0.0064664,0.00087192,-0.0067444,-0.0068165,0.015016,-0.018517,0.00060089,0.0020145,-0.0076032,-0.0043618,0.0052729,0.0059922,-0.00090999,-0.016608,0.0052884,0.0011919,0.00041842,0.0019743,0.0025837,0.003115,-2.7811,0.27968,-6.9265,-7.5011,-94.642,-0.022975,22.955,19.73,0.0010041,0.0024575
4,0.08,0.0058294,-0.018941,-0.017141,-0.014822,0.0018248,0.002467,-0.0052623,0.0061762,-0.019593,0.0042266,0.0034845,0.0033424,-0.0070276,0.0042922,0.0080282,-0.0086341,-0.0066372,0.0024695,0.0023066,0.0016851,-0.00087796,7.8927e-06,0.00069795,-3.3075,0.12157,-6.9432,-7.9115,-94.33,0.66247,22.422,21.238,0.00037732,0.0020961
5,0.1,-0.01621,-0.020247,-0.019812,-0.019181,0.00031388,0.0075346,0.0045199,-0.010581,-0.020922,0.0024491,-8.1302e-05,0.0099477,-0.0045531,0.0043463,0.0023146,-0.0080521,-0.00040539,-0.0025861,0.001949,0.0012538,-0.00028477,2.5107e-05,8.5628e-05,-2.4402,1.6909,-5.6255,-8.3618,-93.833,1.3467,23.49,21.679,-0.00052772,0.00054726
6,0.12,-0.02231,-0.018609,-0.026451,-0.017677,-0.0048468,0.013813,0.0070563,-0.01835,-0.018374,-0.0040789,-0.0064746,0.0038491,0.0059177,0.0010245,-0.0062367,-0.00040737,-0.0023334,-0.0014419,-0.0017467,-0.0012678,-0.00061071,-0.0014063,-0.0018381,-2.4183,2.6609,-5.4022,-9.0542,-93.662,1.5581,24.656,20.182,-0.001913,-0.0017728
7,0.14,-0.012037,-0.016071,-0.02595,-0.019023,-0.0063019,0.013639,0.0020274,-0.012026,-0.014119,-0.0041772,-0.0085955,-0.0075402,0.017736,-0.0068481,-0.0073552,0.0026783,-0.0035479,-0.00035859,-0.00243,-0.0024032,-0.0021629,-0.0031075,-0.0034227,-2.9167,2.0299,-6.2977,-9.5068,-94.983,0.68841,24.156,21.754,-0.0013841,-0.0011131
8,0.16,0.0031839,-0.012524,-0.016522,-0.024112,-0.0014191,0.0035332,-0.0032902,-0.0010746,-0.011948,0.00075841,-0.0014798,-0.008641,0.012923,-0.0050285,-0.0070032,-0.0031111,0.0027732,-0.0014972,0.00066418,-0.0012832,-0.003365,-0.0030251,-0.0028201,-3.6478,1.1987,-7.3437,-9.8788,-96.072,0.27316,23.118,18.834,0.00079707,0.00166
9,0.18,0.011292,-0.0099229,-0.012233,-0.021321,-0.0005455,-0.0075725,-0.004074,0.008234,-0.012688,-0.00051116,0.0076617,0.0032351,-0.0023996,0.0022179,-0.0078939,-0.0068953,0.0050709,0.0039855,0.0052856,0.003696,0.0031933,0.0021847,0.0034888,-3.5176,1.0316,-7.446,-10.186,-95.444,0.97401,22.732,21.674,0.0029143,0.0044432
