Frequency [Hz],A2,AY1,AY2,AY3,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
0.0,1.680020369227767,0.007222998234919099,0.003554647850521119,0.004780876504140349,0.009831175653936852,0.010233880767111885,0.21283918811396288,0.6224804975342156,0.6985579749407296,0.8558241590170819,0.8448719026130167,0.7446588044273373,0.7913393039252541,0.8430611553769087,1.7619634874137275,1.373453920966622,0.9076586678542207,1.6781953754228596,1.539159900953353,1.2950457741953185,0.988563241668802,1.000123311651729,0.9580475110616387,0.007954986581641054
0.125,1.5293571537262303,0.10811132304362606,0.08800614587412534,0.07370170655670469,0.031086568965161324,0.015522531478091147,1.2290121230619409,1.227430701321995,1.2052969232309598,1.2407985523494327,1.1917970434535603,1.1859858060948603,1.1595782667280092,1.1927433526745808,1.567288391594752,1.2573465953465646,0.8974909705912617,1.5065136876239753,1.402800526418401,1.22835072801704,1.0450773546474994,0.9269091567570105,0.8930428478392519,0.11455077549635458
0.25,0.9175930593290577,0.19752311798690567,0.16852010101790943,0.14213957644468458,0.07711725098885001,0.053170203646455375,1.0626550916475763,1.0556382186665316,1.0575041855426104,1.0602782006213112,1.023519915541782,1.046717273550083,1.026037879072278,1.0376502441486488,0.8997514693742275,0.8920991137117853,0.8757338641595297,0.9186827384193548,0.9228224910622825,0.9159053633877969,0.8862279169948137,0.8764776925145006,0.8881799137820651,0.2131666606144272
0.375,1.5376790165420944,0.3363890587197472,0.31098731996880924,0.28015066594325516,0.23863900671275137,0.2160321109525185,1.3947016912131183,1.3592392147827497,1.3688774001247526,1.3528640660290527,1.3540024371767432,1.3759078283390587,1.331071382777558,1.3819508059337227,1.5446140864190507,1.3456041726467785,1.0791317068641961,1.487915180635567,1.4401056197419564,1.31853698854298,1.2394250245303509,1.1488012799183898,1.0812844978403136,0.3605563980545915
0.5,1.141910100893103,0.759826765531678,0.7453727039822611,0.7493394293773505,0.7522373211340366,0.7473509756536596,1.2092213552322817,1.2007349635961428,1.205732302989337,1.2026012107607873,1.195494809320202,1.2048219113765983,1.1975376935843707,1.1987054191802233,1.136782194641011,1.0886429766154206,1.000471359275818,1.12265116868218,1.1146301478258398,1.070801766775361,1.0458220754470413,1.0089690113200152,0.9950487313719776,0.76270284662956
0.625,1.4594818649062924,0.7162942077514343,0.6706820596891516,0.60474122523362,0.43053572463921674,0.3878917260541589,1.2258770054447734,1.1985753666515828,1.1975463829278599,1.2057111204192648,1.2152473479302297,1.210044376161263,1.1983964131972502,1.1881943909029664,1.4447545113926836,1.2313664845108048,1.0180980749587891,1.3829810876168707,1.3293418541252522,1.2257170286418702,1.1703988718462692,1.0848448165328635,1.0041500264579781,0.7480112346714354
0.75,1.060391983552758,0.9974209218830735,0.983379205736658,0.9777023318283506,0.947233108939746,0.9359499218052808,1.2252324625305595,1.2297796516911712,1.2294921369578913,1.2317004171734125,1.2243259721122524,1.2315951452947493,1.2225419433868034,1.2209457335231653,1.047603565295543,1.0503312740001696,1.0210773282035692,1.0565293172137762,1.0598617858805304,1.0402243902203598,1.026850895220134,1.0219306958760843,1.0153874616415426,0.9932884882567448
0.875,1.5268066951731416,1.1191104884838405,1.0448676787401483,0.9526818597001442,0.6627318730332394,0.5939634001616904,1.3199200628602186,1.2666844544994211,1.25301658726856,1.289542720031437,1.2732567498364813,1.2699594088862916,1.2613895857976896,1.2493462369461619,1.4903866956335465,1.2715249978737453,1.0750818139090068,1.429635785564414,1.3746125414137407,1.2879393907486647,1.2179622900210632,1.1259546872546768,1.0735524848348688,1.1362656603513972
1.0,1.168235599049954,0.954873242010837,0.9405729064329489,0.9371679333925229,0.9192351769495027,0.9023604484823563,1.2353966074599934,1.2334190498587216,1.2352302726831692,1.2294887642837247,1.2248596725743104,1.2314618232174261,1.223348895729088,1.2245410956739402,1.165347234193678,1.1180541691645618,1.0166664343917222,1.1478452721577184,1.140699719318735,1.105886266636482,1.0793802504298897,1.03647825233803,1.0070245910480842,0.9555844740057459
1.125,1.4568431062174865,1.3085117828905584,1.230914885587687,1.095849495008343,0.7261585249904363,0.6375908032851535,1.256592481580451,1.2229925830696562,1.2535730933521858,1.2747485800187366,1.2398631361423378,1.256332016510193,1.2312825013773385,1.2312075175096782,1.424293195487499,1.187718308952605,1.0144826622597574,1.3524292048452111,1.297832923016806,1.1938094137622406,1.1290384758352336,1.067287577337148,1.0020218145749258,1.3378487468223306
